player_id,install_date,platform,region,skill_factor,spender
P00001,2026-03-23,PC,NA-West,1.441,1
P00002,2026-01-14,PC,LATAM,0.672,0
P00003,2026-01-12,PC,NA-West,1.081,0
P00004,2026-03-31,Xbox,EU,0.763,0
P00005,2026-01-01,PS5,EU,1.011,0
P00006,2026-01-28,PC,LATAM,1.306,1
P00007,2026-02-14,Xbox,LATAM,0.495,0
P00008,2026-02-18,Xbox,EU,1.257,0
P00009,2026-04-01,PS5,NA-East,1.467,0
P00010,2026-01-13,PS5,NA-West,0.719,0
P00011,2026-01-27,Xbox,NA-East,0.738,0
P00012,2026-01-22,PS5,LATAM,0.744,0
P00013,2026-03-23,PS5,NA-East,0.907,0
P00014,2026-01-05,PC,NA-West,1.12,0
P00015,2026-03-14,Xbox,LATAM,1.217,0
P00016,2026-03-24,PC,EU,0.735,0
P00017,2026-02-24,PC,NA-West,1.283,0
P00018,2026-01-12,PC,NA-West,1.025,0
P00019,2026-02-24,Xbox,LATAM,0.716,0
P00020,2026-03-12,Xbox,NA-East,1.034,0
P00021,2026-03-10,PS5,NA-East,1.003,0
P00022,2026-01-21,Xbox,EU,0.2,0
P00023,2026-01-23,Xbox,EU,0.834,0
P00024,2026-03-06,PC,NA-East,0.844,0
P00025,2026-03-04,PS5,NA-West,1.799,1
P00026,2026-03-14,PS5,NA-East,1.14,0
P00027,2026-03-10,PS5,NA-West,1.018,0
P00028,2026-03-19,Xbox,NA-West,0.786,0
P00029,2026-02-21,PS5,LATAM,1.507,1
P00030,2026-01-29,Xbox,NA-West,1.066,0
P00031,2026-01-01,PC,NA-East,1.446,0
P00032,2026-02-12,Xbox,LATAM,1.233,0
P00033,2026-01-17,Xbox,LATAM,0.879,0
P00034,2026-03-02,PC,LATAM,1.08,0
P00035,2026-02-22,Xbox,NA-East,0.446,1
P00036,2026-02-13,PC,NA-West,1.053,0
P00037,2026-01-18,PC,NA-East,0.751,0
P00038,2026-03-12,Xbox,NA-East,1.415,0
P00039,2026-01-31,PC,LATAM,1.203,0
P00040,2026-01-22,PS5,LATAM,0.263,1
P00041,2026-03-31,Xbox,LATAM,2.0,0
P00042,2026-02-07,Xbox,NA-East,1.024,0
P00043,2026-01-08,Xbox,NA-West,1.379,1
P00044,2026-03-07,Xbox,NA-East,1.197,0
