session_id,player_id,session_date,day_number,mode,duration_min,kills,deaths,won,platform
1,P00001,2026-03-23,0,Multiplayer,29,15,6,1,PC
2,P00001,2026-03-24,1,Warzone,33,13,6,1,PC
3,P00001,2026-03-29,6,Warzone,44,7,10,1,PC
4,P00001,2026-03-29,6,Warzone,5,10,5,1,PC
5,P00001,2026-04-03,11,Multiplayer,5,11,4,0,PC
6,P00001,2026-04-03,11,Multiplayer,62,13,4,1,PC
7,P00001,2026-04-04,12,Warzone,41,10,1,0,PC
8,P00001,2026-04-06,14,Multiplayer,32,15,1,0,PC
9,P00001,2026-04-17,25,Warzone,74,20,5,0,PC
10,P00001,2026-04-29,37,Warzone,34,13,4,1,PC
11,P00001,2026-05-05,43,Warzone,49,9,1,1,PC
12,P00001,2026-05-12,50,Warzone,38,11,7,0,PC
13,P00002,2026-01-14,0,Warzone,69,10,9,0,PC
14,P00002,2026-01-15,1,Warzone,52,5,12,1,PC
15,P00002,2026-01-16,2,Warzone,25,1,16,1,PC
16,P00002,2026-01-16,2,Campaign,33,5,14,1,PC
17,P00002,2026-01-16,2,Multiplayer,61,5,15,0,PC
18,P00002,2026-01-19,5,Multiplayer,70,7,13,0,PC
19,P00002,2026-02-17,34,Warzone,71,7,16,0,PC
20,P00003,2026-01-12,0,Multiplayer,51,5,9,1,PC
21,P00003,2026-01-14,2,Warzone,26,7,7,0,PC
22,P00003,2026-01-15,3,Campaign,27,2,8,0,PC
23,P00003,2026-01-25,13,Warzone,92,8,12,0,PC
24,P00003,2026-01-25,13,Multiplayer,54,5,10,1,PC
25,P00003,2026-01-25,13,Multiplayer,34,0,5,0,PC
26,P00003,2026-02-07,26,Warzone,26,16,6,0,PC
27,P00004,2026-03-31,0,Warzone,25,0,10,0,Xbox
28,P00004,2026-04-01,1,Warzone,5,11,15,0,Xbox
29,P00004,2026-04-01,1,Warzone,36,4,12,0,Xbox
30,P00004,2026-04-04,4,Multiplayer,44,6,10,0,Xbox
31,P00004,2026-04-04,4,Warzone,68,8,12,1,Xbox
32,P00004,2026-04-29,29,Warzone,59,8,12,1,Xbox
33,P00004,2026-04-29,29,Multiplayer,15,5,13,0,Xbox
34,P00004,2026-04-30,30,Multiplayer,81,11,13,0,Xbox
35,P00005,2026-01-01,0,Multiplayer,55,6,10,0,PS5
36,P00005,2026-01-01,0,Multiplayer,35,5,7,0,PS5
37,P00005,2026-01-01,0,Campaign,28,16,6,1,PS5
38,P00005,2026-01-05,4,Multiplayer,52,8,15,0,PS5
39,P00005,2026-01-07,6,Warzone,73,2,13,1,PS5
40,P00005,2026-01-07,6,Warzone,60,7,12,0,PS5
41,P00005,2026-01-07,6,Warzone,36,8,6,0,PS5
42,P00005,2026-01-27,26,Multiplayer,71,9,2,0,PS5
43,P00005,2026-02-20,50,Warzone,17,8,10,1,PS5
44,P00006,2026-01-28,0,Multiplayer,61,11,8,0,PC
45,P00006,2026-01-30,2,Campaign,51,8,11,0,PC
46,P00006,2026-02-01,4,Warzone,71,4,8,0,PC
47,P00006,2026-02-02,5,Warzone,54,14,11,0,PC
48,P00006,2026-02-07,10,Warzone,46,11,5,0,PC
49,P00006,2026-02-12,15,Warzone,66,6,6,0,PC
50,P00006,2026-03-05,36,Multiplayer,55,20,7,0,PC
51,P00006,2026-03-06,37,Warzone,59,13,9,1,PC
52,P00006,2026-03-28,59,Warzone,72,9,8,0,PC
53,P00006,2026-03-28,59,Multiplayer,50,13,10,1,PC
54,P00007,2026-02-14,0,Campaign,73,7,17,0,Xbox
55,P00007,2026-02-15,1,Warzone,28,5,16,1,Xbox
56,P00007,2026-02-16,2,Multiplayer,57,0,18,0,Xbox
57,P00007,2026-03-04,18,Multiplayer,54,4,20,1,Xbox
58,P00007,2026-03-04,18,Warzone,56,0,18,1,Xbox
59,P00007,2026-03-06,20,Warzone,25,2,19,1,Xbox
60,P00007,2026-03-10,24,Campaign,101,12,18,0,Xbox
61,P00007,2026-03-14,28,Multiplayer,36,2,17,0,Xbox
62,P00007,2026-03-14,28,Multiplayer,42,4,16,0,Xbox
63,P00007,2026-03-31,45,Campaign,30,9,16,0,Xbox
64,P00007,2026-03-31,45,Warzone,76,0,22,0,Xbox
65,P00007,2026-03-31,45,Warzone,19,5,19,0,Xbox
66,P00008,2026-02-18,0,Warzone,44,5,7,0,Xbox
67,P00008,2026-02-18,0,Warzone,56,5,6,0,Xbox
68,P00008,2026-03-10,20,Warzone,5,7,4,0,Xbox
69,P00008,2026-03-21,31,Warzone,46,16,7,1,Xbox
70,P00008,2026-03-21,31,Warzone,43,5,4,0,Xbox
71,P00008,2026-03-21,31,Multiplayer,72,8,6,0,Xbox
72,P00009,2026-04-01,0,Warzone,60,8,2,1,PS5
73,P00009,2026-04-05,4,Warzone,35,10,7,1,PS5
74,P00010,2026-01-13,0,Warzone,74,5,11,1,PS5
75,P00010,2026-01-13,0,Multiplayer,65,2,12,1,PS5
76,P00010,2026-01-13,0,Warzone,76,4,16,0,PS5
77,P00011,2026-01-27,0,Warzone,70,8,10,0,Xbox
78,P00011,2026-01-27,0,Multiplayer,14,0,7,0,Xbox
79,P00011,2026-01-27,0,Warzone,75,2,11,0,Xbox
80,P00011,2026-02-02,6,Warzone,38,10,17,1,Xbox
81,P00011,2026-02-06,10,Multiplayer,62,2,10,1,Xbox
82,P00011,2026-02-21,25,Warzone,27,4,15,0,Xbox
83,P00011,2026-03-04,36,Multiplayer,55,0,13,1,Xbox
84,P00012,2026-01-22,0,Warzone,42,9,12,0,PS5
85,P00012,2026-01-22,0,Warzone,24,5,9,0,PS5
86,P00012,2026-01-22,0,Warzone,72,6,10,0,PS5
87,P00012,2026-01-26,4,Warzone,97,5,9,1,PS5
88,P00012,2026-01-27,5,Warzone,36,12,8,0,PS5
89,P00012,2026-01-31,9,Multiplayer,8,14,10,0,PS5
90,P00012,2026-01-31,9,Multiplayer,30,10,14,0,PS5
91,P00012,2026-02-12,21,Warzone,66,6,13,1,PS5
92,P00013,2026-03-23,0,Warzone,40,7,7,0,PS5
93,P00013,2026-03-23,0,Multiplayer,20,2,9,1,PS5
94,P00013,2026-03-23,0,Warzone,34,12,13,1,PS5
95,P00013,2026-03-27,4,Campaign,53,0,15,1,PS5
96,P00013,2026-03-28,5,Multiplayer,68,5,8,0,PS5
97,P00013,2026-04-01,9,Multiplayer,43,0,8,0,PS5
98,P00013,2026-04-03,11,Multiplayer,24,12,10,0,PS5
99,P00013,2026-04-03,11,Multiplayer,52,3,9,0,PS5
100,P00013,2026-04-03,11,Warzone,41,6,6,1,PS5
101,P00013,2026-04-19,27,Multiplayer,31,6,11,0,PS5
102,P00013,2026-04-26,34,Warzone,28,5,11,1,PS5
103,P00014,2026-01-05,0,Campaign,43,15,7,1,PC
104,P00014,2026-01-08,3,Warzone,61,7,8,0,PC
105,P00014,2026-01-11,6,Campaign,50,7,5,0,PC
106,P00014,2026-01-11,6,Warzone,54,10,5,1,PC
107,P00014,2026-01-11,6,Multiplayer,54,12,11,0,PC
108,P00014,2026-01-17,12,Multiplayer,37,4,6,0,PC
109,P00014,2026-02-11,37,Warzone,37,11,5,1,PC
110,P00014,2026-02-21,47,Warzone,49,0,1,0,PC
111,P00015,2026-03-14,0,Multiplayer,10,13,7,0,Xbox
112,P00015,2026-03-16,2,Multiplayer,36,1,7,0,Xbox
113,P00015,2026-03-30,16,Multiplayer,64,10,11,1,Xbox
114,P00016,2026-03-24,0,Warzone,59,2,12,1,PC
115,P00016,2026-03-31,7,Warzone,67,5,6,0,PC
116,P00016,2026-04-12,19,Multiplayer,30,0,14,1,PC
117,P00017,2026-02-24,0,Warzone,54,2,6,0,PC
118,P00017,2026-03-13,17,Multiplayer,46,15,4,0,PC
119,P00018,2026-01-12,0,Warzone,24,11,7,0,PC
120,P00018,2026-01-13,1,Multiplayer,28,5,11,0,PC
121,P00018,2026-01-16,4,Warzone,16,14,6,0,PC
122,P00018,2026-01-23,11,Multiplayer,70,5,6,1,PC
123,P00018,2026-02-05,24,Multiplayer,67,0,4,0,PC
124,P00018,2026-02-14,33,Warzone,34,13,3,1,PC
125,P00019,2026-02-24,0,Multiplayer,33,3,16,1,Xbox
126,P00019,2026-03-03,7,Warzone,78,10,12,0,Xbox
127,P00019,2026-03-06,10,Warzone,28,15,14,0,Xbox
128,P00019,2026-03-06,10,Warzone,42,8,13,0,Xbox
129,P00020,2026-03-12,0,Multiplayer,40,11,9,0,Xbox
130,P00020,2026-03-17,5,Multiplayer,37,11,8,0,Xbox
131,P00020,2026-03-17,5,Multiplayer,5,12,14,0,Xbox
132,P00020,2026-03-22,10,Warzone,64,7,5,0,Xbox
133,P00020,2026-04-01,20,Multiplayer,38,6,11,0,Xbox
134,P00020,2026-05-06,55,Warzone,53,9,12,0,Xbox
135,P00021,2026-03-10,0,Warzone,78,2,9,0,PS5
136,P00021,2026-03-11,1,Warzone,35,9,8,0,PS5
137,P00021,2026-03-11,1,Warzone,26,6,11,1,PS5
138,P00021,2026-03-11,1,Multiplayer,47,8,6,0,PS5
139,P00021,2026-03-15,5,Warzone,41,5,13,1,PS5
140,P00021,2026-03-20,10,Warzone,18,6,6,0,PS5
141,P00021,2026-03-20,10,Warzone,8,12,8,0,PS5
142,P00021,2026-03-28,18,Warzone,65,6,9,1,PS5
143,P00021,2026-03-28,18,Warzone,27,8,10,0,PS5
144,P00021,2026-05-08,59,Warzone,63,6,12,1,PS5
145,P00022,2026-01-21,0,Warzone,51,2,49,0,Xbox
146,P00022,2026-01-22,1,Warzone,5,0,44,0,Xbox
147,P00022,2026-01-22,1,Multiplayer,61,0,43,0,Xbox
148,P00022,2026-01-23,2,Warzone,25,2,40,1,Xbox
149,P00022,2026-02-10,20,Campaign,54,2,47,0,Xbox
150,P00022,2026-03-11,49,Warzone,78,3,41,0,Xbox
151,P00022,2026-03-11,49,Warzone,44,0,44,0,Xbox
152,P00023,2026-01-23,0,Warzone,45,6,9,1,Xbox
153,P00025,2026-03-04,0,Multiplayer,61,11,10,0,PS5
154,P00025,2026-03-06,2,Campaign,35,16,8,0,PS5
155,P00025,2026-03-06,2,Warzone,20,4,4,0,PS5
156,P00025,2026-03-06,2,Warzone,45,16,6,1,PS5
157,P00025,2026-03-13,9,Multiplayer,49,6,3,1,PS5
158,P00025,2026-03-27,23,Multiplayer,41,12,2,1,PS5
159,P00025,2026-03-27,23,Warzone,42,11,10,0,PS5
160,P00025,2026-04-08,35,Warzone,43,14,1,1,PS5
161,P00025,2026-04-12,39,Warzone,67,14,7,0,PS5
162,P00025,2026-04-12,39,Warzone,16,19,6,0,PS5
163,P00025,2026-04-22,49,Multiplayer,58,13,10,0,PS5
164,P00025,2026-04-22,49,Multiplayer,53,18,2,1,PS5
165,P00025,2026-04-22,49,Warzone,37,10,4,0,PS5
166,P00026,2026-03-14,0,Campaign,20,15,9,0,PS5
167,P00026,2026-03-15,1,Multiplayer,47,3,8,0,PS5
168,P00026,2026-03-15,1,Warzone,55,9,9,0,PS5
169,P00026,2026-03-15,1,Multiplayer,71,17,4,0,PS5
170,P00026,2026-03-16,2,Warzone,42,10,10,0,PS5
171,P00026,2026-03-16,2,Warzone,46,11,2,0,PS5
172,P00026,2026-04-23,40,Warzone,51,7,7,1,PS5
173,P00026,2026-04-23,40,Campaign,77,10,9,1,PS5
174,P00027,2026-03-10,0,Multiplayer,45,11,10,1,PS5
175,P00027,2026-03-10,0,Warzone,11,7,10,1,PS5
176,P00027,2026-04-05,26,Warzone,26,7,8,1,PS5
177,P00028,2026-03-19,0,Multiplayer,32,2,10,1,Xbox
178,P00028,2026-03-19,0,Multiplayer,8,5,14,1,Xbox
179,P00028,2026-03-19,0,Warzone,65,5,7,0,Xbox
180,P00028,2026-03-25,6,Warzone,67,2,10,0,Xbox
181,P00028,2026-04-27,39,Warzone,52,4,8,0,Xbox
182,P00028,2026-04-27,39,Multiplayer,87,10,8,1,Xbox
183,P00028,2026-04-27,39,Warzone,33,9,12,0,Xbox
184,P00029,2026-02-21,0,Multiplayer,41,10,11,0,PS5
185,P00029,2026-02-24,3,Multiplayer,46,15,3,0,PS5
186,P00029,2026-02-24,3,Warzone,54,11,6,1,PS5
187,P00029,2026-02-24,3,Warzone,31,11,8,1,PS5
188,P00029,2026-02-25,4,Warzone,29,8,7,0,PS5
189,P00029,2026-02-25,4,Multiplayer,22,5,4,1,PS5
190,P00029,2026-02-26,5,Multiplayer,50,13,3,1,PS5
191,P00029,2026-02-26,5,Multiplayer,37,5,4,0,PS5
192,P00029,2026-03-05,12,Warzone,17,9,5,1,PS5
193,P00029,2026-03-05,12,Warzone,38,6,11,0,PS5
194,P00029,2026-03-05,12,Warzone,45,13,4,1,PS5
195,P00029,2026-03-20,27,Warzone,77,17,7,1,PS5
196,P00029,2026-03-26,33,Campaign,47,15,7,1,PS5
197,P00029,2026-03-30,37,Warzone,37,17,4,0,PS5
198,P00029,2026-04-12,50,Multiplayer,38,9,9,0,PS5
199,P00029,2026-04-19,57,Multiplayer,23,9,8,0,PS5
200,P00030,2026-01-29,0,Multiplayer,55,14,9,0,Xbox
201,P00030,2026-01-30,1,Multiplayer,36,1,11,0,Xbox
202,P00030,2026-01-30,1,Warzone,25,11,9,0,Xbox
203,P00030,2026-02-04,6,Multiplayer,51,7,8,0,Xbox
204,P00030,2026-02-04,6,Multiplayer,31,6,11,0,Xbox
